Age,Gender,Monthly_Income,Occupation,City,Marital_Status,Owns_Vehicle,Vehicle_Type_Owned,Usage_Frequency,Primary_Use,Importance_Attributes,Preferred_Brands,Aware_Subscription,Willingness_Subscribe,Subscription_Budget,Motivating_Features,Preferred_Duration,Swap_Valuable,Subscription_Concerns,Hesitation_Reason,Vehicle_Change_Frequency,App_Comfort,Uses_Mobility_Apps,Expected_App_Features,NPS_Score
36,Male,45361,Student,Lynnberg,Married,Yes,Sedan,Rarely,"Commute, Other, Family",Brand,Other,Yes,Neutral,17777,"Monthly flexibility, Roadside assistance",<3 months,Yes,"Availability, Trust",Anyone water here structure send bring.,I don’t care,Very Comfortable,Yes,"Easy UI, Live Chat",5.0
30,Male,38717,Retired,Jonesport,Single,Yes,EV,Rarely,Leisure,"Safety, Brand, Sustainability","Audi, Toyota, Kia",No,Likely,15404,Easy swaps,3-6 months,Not Sure,"Availability, Return process",Alone this people Republican situation seat property more.,I don’t care,Very Comfortable,No,"Live Chat, Ratings",5.0
38,Female,54787,Other,East Jacob,Single,Yes,EV,Daily,Other,"Sustainability, Fuel Type, Comfort, Brand, Model Variety","Honda, Tesla",No,Unlikely,9674,"Easy swaps, Monthly flexibility",3-6 months,Yes,"Cost, Support, Insurance",Source later degree partner by rather lay unit phone.,Rarely,Somewhat,Yes,"Live Chat, Swap History",3.7
47,Female,70106,Other,East Taylortown,Married,Yes,Hatchback,Weekends only,Other,"Comfort, Brand, Safety, Model Variety",Audi,Somewhat,Very Likely,11546,"No down payment, Monthly flexibility, Digital platform",3-6 months,No,"Availability, Condition of vehicle",Side close someone light law production true exactly.,Once a year,Neutral,No,"Easy UI, Offers/Discounts, Live Chat",3.8
29,Male,21872,Freelancer,Lake Miguelhaven,Single,No,SUV,Rarely,"Travel, Commute, Business","Safety, Model Variety, Comfort, Tech Features, Brand","Tata, Hyundai, Audi",Yes,Unlikely,20632,"Insurance included, Digital platform",6-12 months,Yes,"Cost, Support",Finish already direction tough group head shoulder drug.,Rarely,Not Comfortable,Yes,"Easy UI, Live Chat, Model Filters",3.8
29,Female,51725,Freelancer,South Christina,Single,No,EV,Few times a week,Commute,"Fuel Type, Sustainability, Comfort",Audi,Yes,Likely,18868,"Digital platform, No down payment, Monthly flexibility",>1 year,Yes,"Condition of vehicle, Return process",Ok available peace camera authority student.,Once a year,Not Comfortable,No,"Easy UI, Live Chat, Ratings",3.9
47,Male,47598,Retired,Alyssahaven,Married,Yes,EV,Rarely,Leisure,"Brand, Model Variety","Audi, Other",Yes,Very Likely,8325,No down payment,<3 months,Not Sure,Trust,Respond ten account message guess practice attention.,Rarely,Somewhat,No,"Offers/Discounts, Model Filters, Easy UI",2.3
39,Female,60070,Freelancer,East Julieborough,Married,Yes,Other,Rarely,Travel,"Fuel Type, Comfort, Sustainability, Tech Features",Honda,Yes,Unlikely,19347,No down payment,>1 year,No,"Support, Availability, Condition of vehicle",At on benefit would begin husband deal radio.,I don’t care,Somewhat,Yes,"Ratings, Swap History, Offers/Discounts",4.3
27,Female,53197,Student,Tinamouth,Single,Yes,Other,Daily,"Commute, Travel, Leisure",Fuel Type,Other,Yes,Neutral,21543,"No down payment, Insurance included",>1 year,No,"Trust, Cost, Availability",Put year less pass company its.,Every 2-3 years,Somewhat,Yes,"Offers/Discounts, Model Filters",4.6
37,Female,38720,Student,Kennethberg,Single,Yes,Luxury,Rarely,"Other, Travel, Business","Model Variety, Tech Features, Comfort","Toyota, BMW",No,Very Likely,15269,Monthly flexibility,<3 months,Yes,"Return process, Condition of vehicle, Availability",Though worry necessary reach expect western cover certain system.,Once a year,Somewhat,No,"Swap History, Easy UI, Model Filters",3.7
